"Participant","","","Game of Choice","","Performance","","","Monthly Breakdown","","","","","","","","","","",""
"Name","Language","Country","Game Name","Bought","Bank Balance","Rating","Total Winnings","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Tony Smith","English","Ireland","Chess","true","47336","5","612763","91915","30508","4525","56392","69255","68683","83458","83434","11517","95262","17781","33"
"Sophie Beckham","English","Ireland","Sugoroku","false","32306","3","615289","88105","82542","5318","40287","82132","10728","54004","15516","19344","25078","94015","98220"
"Isabella Cadwell","English","Ireland","Gipf","true","21135","2","716787","71069","29196","99242","59826","52336","22432","93973","76926","79574","89081","3231","39901"
"Amelia Cage","English","Ireland","Shogi","true","81769","4","680747","7204","54503","3623","80627","84426","93288","79438","62559","35065","79383","2038","98593"
"Mia Corbin","English","Ireland","Cross and Circle","false","25857","5","664417","88085","49066","2305","76706","52099","99362","9752","5218","78056","97283","77858","28627"
"Grace Dalton","English","Ireland","Sahkku","true","52439","4","598001","82542","5318","40287","82132","10728","54004","15516","19344","25078","94015","98220","70817"
"Ella Donovan","English","United Kingdom","Ghosts","false","75875","5","587818","93679","51577","65777","95161","16475","81876","28720","34173","5672","27916","67418","19374"
"Freya Fisher","English","Ireland","Tab","true","25205","2","501275","73133","68788","33960","23494","38422","3368","22423","57260","74586","51425","23441","30975"
"Andrew Hayden","English","Ireland","Guess Who?","false","11097","0","484758","81818","17538","16471","1094","80557","58155","11128","73271","2408","81061","21079","40178"
"Isabelle Jett","English","Ireland","Downfall","true","92396","5","543235","51577","65777","95161","16475","81876","28720","34173","5672","27916","67418","19374","49096"
"Olivia Kane","English","United Kingdom","Shogi","false","45601","4","501535","68788","33960","23494","38422","3368","22423","57260","74586","51425","23441","30975","73393"
"Amelia Kobe","English","Ireland","Tantrix","false","27528","0","616223","56392","69255","68683","83458","83434","11517","95262","17781","33","83525","7207","39676"
"Lucy Lopes","English","Ireland","Hex","true","79562","0","597468","40287","82132","10728","54004","15516","19344","25078","94015","98220","70817","37921","49406"
"Evie Brennan","English","Ireland","Plateau","true","70153","3","469888","33960","23494","38422","3368","22423","57260","74586","51425","23441","30975","73393","37141"
"Isla Bryson","English","Ireland","DVONN","false","26216","5","677292","59826","52336","22432","93973","76926","79574","89081","3231","39901","63947","31515","64550"
"Kevin Cole","English","Ireland","Wari","true","46086","0","751997","76706","52099","99362","9752","5218","78056","97283","77858","28627","63970","67042","96024"
"Bricker Corbin","English","United Kingdom","Daldos","true","27329","3","510162","55431","37575","43050","1099","32853","42229","20894","41919","80804","30216","88640","35452"
"Emily Easton","English","Ireland","Hijara","false","65808","2","526812","23494","38422","3368","22423","57260","74586","51425","23441","30975","73393","37141","90884"
"Jessica Gunner","English","Ireland","Game of the Generals","true","14558","1","523195","1094","80557","58155","11128","73271","2408","81061","21079","40178","3749","62947","87568"
"Grace Jaxon","English","Ireland","YINSH","false","62797","5","420941","16475","81876","28720","34173","5672","27916","67418","19374","49096","13738","4315","72168"
"Ella Kade","English","Ireland","Gipf","true","30980","1","546763","38422","3368","22423","57260","74586","51425","23441","30975","73393","37141","90884","43445"
"Poppy Kingston","English","Ireland","Janggi (Korean Chess)","true","66275","3","527671","83458","83434","11517","95262","17781","33","83525","7207","39676","29762","24073","51943"
"Bricker Unalkat","English","Ireland","Ghosts","false","79152","1","583508","54004","15516","19344","25078","94015","98220","70817","37921","49406","81925","18895","18367"
"Dimple Lopes","English","Ireland","Hijara","false","83035","4","550380","31579","57076","11450","34539","91138","11989","6378","47930","65080","33080","89400","70741"
"Olivia Brock","English","Ireland","ZERTZ","true","49356","1","748800","93973","76926","79574","89081","3231","39901","63947","31515","64550","40856","97135","68111"
"Chloe Cadwell","English","United Kingdom","Guess Who?","false","65703","4","535870","83434","11517","95262","17781","33","83525","7207","39676","29762","24073","51943","91657"
